序号,标题,网址,是否违规,违规词
98,陕西师范大学西夏文字与文献研究中心,http://www.baidu.com/link?url=f1clYob7ND5YO584NKt3iLbwttabiqun9jX4MP2DRr8w_0TXrAbkZbuAxUaBBTK4,不违规,
99,中国古代文学博士研究生培养模式的探索与实践,http://www.baidu.com/link?url=GNorZCWjcod4tV9BwekdmZp1XeUrXXsAa1lXD8ZmMczrcjDgC9rXCjDMiFPnslW3,不违规,
1,陕西师范大学图书馆,http://www.baidu.com/link?url=OmOLFc6gQYeuOkGNF96paOxmDJgsmdoYAKaVLY43fOQwsq4rR-0Wt1KbBo3o0-qt,违规,陕西
2,社会科学处,http://www.baidu.com/link?url=0G6XEcYuKekTEDvVYQn9kv5x82rIIxgB4Xj1dNAMjD1qMUGB2EIBXjFXB1ITqa5I,不违规,
3,陕西师范大学,http://www.baidu.com/link?url=bhY8rNnHyq3bqm0JoROzjhni6XGLxyIxr4ynLz3C57xxlJdhByKW-VWyGM_tXDBr,违规,陕西
4,教师教育办公室,http://www.baidu.com/link?url=SK1y3T_jwSBE880knCU4bO6EAAodbVGhGzYY_TmF_1GTIyX5Li2nRqT-98enIEBZ,不违规,
5,河山网 || 陕西师范大学西北历史环境与经济社会发展研究院,http://www.baidu.com/link?url=4IUPZ3Ecls2VRQhT90TwqZJbtzFyZv0nX2l88wzY9KWDDHryZmBH5ShY44-jBplF,违规,陕西
6,陕西师范大学材料科学与工程学院,http://www.baidu.com/link?url=jjWiD0tk2ZMzdd05wN_w_v1bf8SvtMTnOe1dpbllelf_fAR8FVDURmQ5HWo7z3l8,违规,陕西
7,陕西师范大学国际汉学院,http://www.baidu.com/link?url=cgYZXtZWPrb0nyb8LmzpJkBsDyKHkuqxO0xmkwRdkOjxEllKEzZaOvF1zYDOFmeO,违规,陕西
8,本科生教育网,http://www.baidu.com/link?url=UsGcZor1kn0Asg2LiZ0GXFTURK4QpXWD7K53zhdGfT6BmnBqaWNcRttXK5H3bcy3,不违规,
9,陕西师范大学国有资产管理处(物资设备招标采购管理办公室),http://www.baidu.com/link?url=JAi9hTc2U7UHhFGF_aOGHHwDugOlbeUNomXuohtdBk3e-3OWEVK9sdAZGp1AVjnG,违规,陕西
10,陕师大校友会,http://www.baidu.com/link?url=AWDJuRs4oLvwtQvk2W9xOSIjwRpmuJvCs-VSqwJXzQtnVMrBIsZPvulFfwcE_1OI,不违规,
11,人事处,http://www.baidu.com/link?url=yn32w0v7hYFlpWOf59VBWyfV8l5gg8FVxPVS1zMXSGOIwIft3IU2J3UXx2iqi31_,不违规,
12,中国教育后勤协会信息化建设专业委员会,http://www.baidu.com/link?url=BTxvV7uJlBUPD5mRrGegFHM8Wy9d3mnvLPaF1E3tXL_OzwUIwYYasmotKo81zhqA,不违规,
13,地理科学与旅游学院,http://www.baidu.com/link?url=De7srhgN9HyI89DWQ3yar8D_icMvzIwLnXUQw-6WBz3DTEzgN7AOQhI6mG88WTXJ,不违规,
14,数学与信息科学学院,http://www.baidu.com/link?url=z_xHRoKLELV4cKWu606qs5DX80bLsFAb5tfXGvatLQOBa1QnBj3D5iRZYp5gp543,不违规,
15,陕西师范大学物理学与信息技术学院-首页,http://www.baidu.com/link?url=hSl5bUE4sTvffsGZ61PzV8cmVWpYvtYrHADzSO1zt2F_wfIFDd5MLwyvO1-o0QJY,违规,陕西
16,陕西师范大学美术学院 师大美术学院-网站制作技术支持:新势力网络,http://www.baidu.com/link?url=8TngR4yNa1ibm9a3F0_SmShKkRfdx8Fn7bjlGbJaarlxCcZQOXkYhdm1T4Hpf56n,违规,陕西
17,欢迎光临陕西师范大学历史文化学院官网,http://www.baidu.com/link?url=MaE3m0Rx-ASkuswEfJYOGKaRpcgVvq22WqKPdRwqCHgG8aWkPQ-W4irndujm-Ovo,违规,陕西
18,陕西师范大学附属小学,http://www.baidu.com/link?url=QNvLI-uPtSmsixjKjN6_7ssATkba36DpEmfO9CiFWG_,违规,陕西
19,陕西师范大学发展规划处网站,http://www.baidu.com/link?url=bhUGl4KNBE1gub0uznp7FLhaaZWG0Uk7n6-wKm59fXsp9GJLnNuC8TnDolPDPxQ7,违规,陕西
20,陕西师范大学附属小学,http://www.baidu.com/link?url=aAYRp0vHvcHCMSAG-eBgMU_--89odieMiuJJeJzcxgq,违规,陕西
21,陕西师范大学电子离校网站,http://www.baidu.com/link?url=xbiXZXbs-9rD_zqV9Bdrp32_IJVMhOTVH6HkYIYBb92ZiHi5N3LAGKU78Zk2dLVJ,违规,陕西
