序号,标题,网址,是否违规,违规词
77,陕西省心理学会,http://www.baidu.com/link?url=O03azg4Eha9nXgn4uAq-hM5OgsK4YquiRGzBTWp0_VHoXa6AAgeq3C_895dRAUZb,不违规,
78,陕西师范大学 党委统战部,http://www.baidu.com/link?url=R346zoZ_pS8Y6VyMUYylCsu9h6jZwEMHfLXfK69CdhdsybC0r8a2_jAzunBQ55ccrSC8z-z1r0PT2G6kHYR8F_,不违规,
79,运动科学与健身虚拟仿真实验教学中心,http://www.baidu.com/link?url=CtlwT72k97_AaoX80X7f9r1_Cq2mDu_6-RaQLpBwlbgGMz8h_sPoet9MwdqpdJ5P,不违规,
80,陕西师范大学风建设专题网,http://www.baidu.com/link?url=L5naV81_BztUTRPOlptvHwcMJgXvCZie4Gr2RZO5xmbgtbKJh0owYkeuSvksamEC,不违规,
81,数字传媒技术国家级实验教学示范中心(陕西师范大学)- 新闻与传播...,http://www.baidu.com/link?url=KHXPhOOgv2QjxCKEEMZq4TyOX5-6NWTyBkhAuob6K03QjrxP_WTgoANUnmfOf72Q,不违规,
82,陕西师范大学教师干部教育学院,http://www.baidu.com/link?url=jWJ30Qsqxa9v14Zl8OL_K01Dq-YKob_fAOJ4WHx9sedtzuHUr39soaK37Dj_Q0_b,不违规,
83,一带一路建设与中亚研究协同创新中心,http://www.baidu.com/link?url=mQvax3VwfD3gw8tVAszX6yprlgpf_po6IYiwLJcxUa2yuQ1pxCeqUEpUXO4ofvDi,不违规,
84,陕西省能源新材料与器件重点实验室,http://www.baidu.com/link?url=snIlwfh7UoSE9QAmGwaszCIA0yAyrWIwYnFnIoGoy3wIREOPA5zXtU5OTVt2CdDB,不违规,
85,陕西高校课堂教学创新大赛平台,http://www.baidu.com/link?url=Ykxj7-FkogsN4o4MC__FsRP3_4oiRbGYNCiRQ8P52NBMjJlKb_UmxOLaazvQj79g,不违规,
86,CircR2Disease,http://www.baidu.com/link?url=GLUQpwJOVTlcrjY0sSgn_TyLSzlNjXwb2C4M4xwgUHrZfaJ6BOuSx2E0mMAeAl_d,不违规,
87,语言资源开发研究中心,http://www.baidu.com/link?url=xwxTTUwtkwkNjGNJ9pOQmos8unbVP7P0iINoSiyv9GAMmGrHBm_FRw9EghFP3DkU,不违规,
88,科学技术协会,http://www.baidu.com/link?url=5HeeGH4n-YHO2QbShziFb-Vtd-TVt8FVrkP_ybvauU1RMVwKdtKZYWgLSwQXJbbm,不违规,
89,西北濒危药材资源开发国家工程试验室,http://www.baidu.com/link?url=dh6PWMAsrchh5Ve30QK_E3SDwbPn83YS4zHyjk-udRXmJRaHGWM3i9J-UdfwU_VQ,不违规,
